,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
760,Boeing 737,Solo Leisure,Economy Class,Istanbul to London,January 2020,5,5,5,5,5,4,5,yes
761,,Solo Leisure,Economy Class,Lisbon to Tokyo Narita via Istanbul,January 2020,2,1,,,1,,1,no
762,,Solo Leisure,Economy Class,Houston to  Istanbul,January 2020,3,3,3,3,1,3,2,no
763,,Family Leisure,Economy Class,Malta to Almaty via Instambul,January 2020,,,,,,,1,no
764,,Solo Leisure,Economy Class,Istanbul to Milan,January 2020,2,1,1,1,1,1,1,no
765,,Business,Economy Class,Malaga to Tehran via Istanbul,January 2020,1,1,1,2,1,,1,no
766,,Couple Leisure,Economy Class,Hurghada to Paris via Istanbul,January 2020,3,4,3,3,5,1,5,yes
767,,Family Leisure,Economy Class,Lahore to San Francisco via Istanbul,January 2020,3,2,1,3,2,,1,no
768,Boeing 787-9,Solo Leisure,Business Class,Athens to Bogota via Istanbul,December 2019,5,5,5,5,5,1,4,yes
769,Boeing 777-300,Couple Leisure,Economy Class,Los Angeles to Nursultan via Istanbul,January 2020,2,3,3,3,1,,3,no
770,A330,Couple Leisure,Economy Class,Saigon to Milan via Istanbul,January 2020,2,4,4,4,3,3,3,no
771,Boeing 737-800,Solo Leisure,Economy Class,Edinburgh to Istanbul,December 2019,4,5,4,1,4,,4,yes
772,Boeing 777-300ER,Solo Leisure,Business Class,ORD to IST,January 2020,3,5,5,4,1,4,5,yes
773,Boeing 777 / A320,Couple Leisure,Business Class,Rome to Guangzhou via Istanbul,January 2020,2,1,2,3,1,2,1,no
774,,Couple Leisure,Economy Class,Dublin to Tokyo via Istanbul,September 2019,1,1,1,1,1,1,1,no
775,,Family Leisure,Economy Class,Cologne to Athens via Istanbul,December 2019,2,1,1,1,3,,2,no
776,,Family Leisure,Economy Class,Munich to Bahrain via Istanbul,December 2019,1,1,1,1,1,1,1,no
777,A321 / Boeing 777-300ER,Solo Leisure,Business Class,Baku to Tokyo via Istanbul,December 2019,3,2,2,4,2,5,3,yes
778,,Solo Leisure,Economy Class,Los Angeles to Minsk via Los Angeles,December 2019,1,1,1,2,1,1,1,no
779,,Family Leisure,Economy Class,Bahrain to London via Istanbul,December 2019,1,1,1,1,1,1,2,no
780,A340,Couple Leisure,Economy Class,Beirut to Vienna via Istanbul,December 2019,1,1,1,3,1,1,1,no
781,787 and A321,Solo Leisure,Economy Class,Washington to Baku via Istanbul,December 2019,5,5,5,5,5,,5,yes
782,,Family Leisure,Economy Class,Miami to Madinah via Istanbul,November 2019,3,3,3,3,1,2,3,no
783,,Business,Economy Class,Chicago to Delhi via Istanbul,December 2019,,,,,1,,1,no
784,,Family Leisure,Economy Class,Cairo to Dublin via Istanbul,December 2019,1,2,1,,1,,1,no
785,,Couple Leisure,Economy Class,Paris to Tehran via Istanbul,December 2019,,,,,1,,1,no
786,A321-200,Couple Leisure,Economy Class,Istanbul to Madrid,December 2019,3,2,3,,1,,3,no
787,,Family Leisure,Economy Class,Singapore to Istanbul,December 2019,2,2,3,4,4,,3,no
788,,Solo Leisure,Economy Class,Istanbul to Berlin,January 2019,,,,,1,,1,no
789,,Business,Economy Class,Madrid to Addis Ababa via Istanbul,December 2019,2,1,2,1,1,1,1,no
790,,Business,Business Class,Singapore to Malta via Istanbul,December 2019,3,1,1,3,1,,1,no
791,,Solo Leisure,Economy Class,Birmingham to Delhi via Istanbul,December 2019,1,1,,,1,,1,no
792,A330,Family Leisure,Economy Class,Kuala Lumpur to Skopje via Istanbul,December 2019,2,3,2,3,1,1,1,no
793,,Family Leisure,Economy Class,Zagreb to Kuala Lumpur via Istanbul,December 2019,2,3,2,3,1,,2,no
794,,Business,Economy Class,Amsterdam to Tashkent via Istanbul,December 2019,2,3,1,5,1,1,1,no
795,A321,Business,Economy Class,Istanbul to Milan,December 2019,5,4,4,5,4,,5,yes
796,,Solo Leisure,Economy Class,Istanbul to Kuala Lumpur,December 2019,1,3,2,4,1,,2,no
797,,Solo Leisure,Economy Class,Rome to Delhi via Istanbul,November 2019,1,3,,,1,,1,no
798,,Solo Leisure,Economy Class,Lisbon to Singapore via Istanbul,November 2019,4,5,5,3,5,3,5,yes
799,,Solo Leisure,Economy Class,Toronto to Tehran via Istanbul,December 2019,2,3,,,2,,1,no
800,,Family Leisure,Economy Class,Amsterdam to Doha via Istanbul,December 2019,,,,,,,1,no
801,A330,Solo Leisure,Economy Class,Istanbul to Cape Town,December 2019,4,4,1,4,5,,5,yes
802,,Couple Leisure,Economy Class,Chicago to Skopje via Istanbul,June 2019,1,4,4,1,2,,2,no
803,,Couple Leisure,Economy Class,Cairo to Manila via Istanbul,November 2019,2,4,4,4,1,3,1,no
804,,Couple Leisure,Economy Class,Denpasar to Vilnius via Istanbul,November 2019,1,4,4,4,1,1,1,no
805,,Business,Economy Class,Atlanta to Dubai via Istanbul,November 2019,1,1,1,1,1,1,1,no
806,,Family Leisure,Economy Class,San Francisco to Lahore via Istanbul,November 2019,1,1,1,4,1,1,1,no
807,,Business,Business Class,Toronto to Tehran via Istanbul,December 2018,,,,,,,1,no
808,,Business,Economy Class,Sofia to Zaporizhia via Istanbul,November 2019,4,5,3,3,1,,1,no
809,"Boeing 777W, A330",Solo Leisure,Business Class,Athens to Kathmandu via Istanbul,November 2019,5,5,5,5,5,4,5,yes
810,,Couple Leisure,Economy Class,Istanbul to London,November 2019,2,3,2,1,1,,1,no
811,A330-300 (A333),Solo Leisure,Economy Class,Kayseri to İstanbul,October 2019,5,5,4,1,2,,5,yes
812,A321,Solo Leisure,Economy Class,Milan to Istanbul,October 2019,4,4,4,4,4,,5,yes
813,A330-200 (A332),Solo Leisure,Economy Class,Istanbul to Milan,October 2019,4,4,4,5,5,,5,yes
814,Boeing 777-300er,Business,Business Class,Singapore to Istanbul,November 2019,2,1,,1,1,,1,no
815,A330,Solo Leisure,Economy Class,Cape Town to Istanbul,November 2019,4,4,3,5,5,,5,yes
816,A321neo,Business,Business Class,Istanbul to Zurich,November 2019,4,5,5,5,4,5,5,yes
817,,Family Leisure,Economy Class,Istanbul to Shiraz,November 2019,1,3,3,3,1,1,2,no
818,,Family Leisure,Economy Class,Istanbul to Shiraz,November 2019,1,2,3,3,2,,2,no
819,Boeing 787,Family Leisure,Economy Class,Washington to Odesa via Istanbul,September 2019,3,5,5,5,5,,5,yes
820,A333,Solo Leisure,Economy Class,Istanbul to Montreal,November 2019,3,1,4,4,3,1,1,no
821,,Solo Leisure,Economy Class,Istanbul to Tel Aviv,November 2019,2,3,3,2,3,1,3,no
822,,Family Leisure,Economy Class,Vienna to Ankara,October 2019,2,3,3,3,1,,2,no
823,A330,Family Leisure,Economy Class,New York JFK to Istanbul,October 2019,1,3,1,3,1,1,1,no
824,Boeing 737-900,Business,Economy Class,Istanbul to Ankara,November 2019,4,4,2,3,4,,4,yes
825,,Solo Leisure,Economy Class,Frankfurt to Tehran via to Istanbul,August 2019,1,1,1,1,1,1,1,no
826,A321neo,Business,Business Class,Milan to Istanbul,November 2019,5,4,5,5,3,5,5,yes
827,,Family Leisure,Economy Class,Istanbul to London,November 2019,1,2,3,3,1,,1,no
828,,Family Leisure,Economy Class,Montreal to Delhi via Istanbul,October 2019,2,1,1,1,1,,2,no
829,A320 / Boeing 737-900,Business,Economy Class,Copenhagen to Batumi via Istanbul,October 2019,4,5,5,5,2,,4,yes
830,,Couple Leisure,Economy Class,Nuremberg to Hong Kong via Istanbul,October 2019,5,3,5,4,3,3,5,yes
831,,Solo Leisure,Economy Class,Dubai to Skopje via Istanbul,June 2019,,,,,,,2,no
832,,Solo Leisure,Economy Class,Brussels to Istanbul,October 2019,3,1,3,3,1,,2,no
833,,Solo Leisure,Economy Class,Doha to Munich via Istanbul,October 2019,2,1,,4,1,1,1,no
834,Boeing 737-800,Couple Leisure,Economy Class,Dalaman to Ankara,October 2019,4,5,4,,4,,4,yes
835,B777-300,Business,Economy Class,Istanbul to Izmir,October 2019,5,4,4,5,5,,5,yes
836,,Solo Leisure,Economy Class,Los Angeles to Istanbul,July 2019,1,1,1,4,4,,4,no
837,,Couple Leisure,Business Class,Lvov to Istanbul,October 2019,4,4,4,4,1,2,3,no
838,,Couple Leisure,Economy Class,Istanbul to Toronto,December 2018,2,1,1,2,1,1,1,no
839,,Business,Economy Class,İstanbul to Hamburg,September 2019,2,2,2,2,2,2,2,yes
840,Boeing 737-800,Couple Leisure,Economy Class,Ankara to Dalaman,October 2019,3,5,4,,4,,4,yes
841,Boeing 787,Solo Leisure,Business Class,Istanbul to Denpasar Bali,October 2019,2,2,3,3,2,5,5,yes
842,A321,Solo Leisure,Economy Class,Istanbul to Hamburg,October 2019,1,1,1,1,1,1,1,no
843,,Solo Leisure,Economy Class,Amsterdam to Istanbul,October 2019,3,3,3,2,3,3,3,yes
844,,Solo Leisure,Economy Class,Gatwick to Hurghada via Istanbul,September 2019,3,1,1,1,1,1,1,no
845,,Solo Leisure,Economy Class,Istanbul to London,October 2019,4,2,2,3,1,,3,no
846,,Solo Leisure,Economy Class,New York to Tel Aviv via Istanbul,September 2019,3,5,5,5,5,,5,yes
847,,Solo Leisure,Economy Class,Birmingham to Doha via Istanbul,September 2019,3,3,,,1,,1,no
848,A330,Business,Business Class,Istanbul to Boston,October 2019,3,5,4,4,1,3,4,yes
849,,Solo Leisure,Economy Class,Istanbul to Denpasar,October 2019,3,2,3,4,1,1,3,no
850,,Solo Leisure,Economy Class,Mauritius to Manchester via Istanbul,October 2019,1,1,1,5,2,1,2,no
851,,Solo Leisure,Economy Class,Istanbul to London,September 2019,2,3,1,1,1,1,3,no
852,,Solo Leisure,Economy Class,Kiev to Hong Kong via Istanbul,October 2019,3,2,2,2,1,,1,no
853,A330-300,Solo Leisure,Economy Class,Istanbul to Ho Chi Minh city,October 2019,3,2,2,1,3,1,3,no
854,A330,Business,Economy Class,İstanbul to Izmir,October 2019,5,5,5,,5,,5,yes
855,,Couple Leisure,Economy Class,Gatwick to Istanbul,October 2019,1,1,3,2,1,,1,no
856,,Couple Leisure,Economy Class,Kuala Lumpur to Catania via Istanbul,September 2019,3,3,3,3,1,3,1,no
857,,Family Leisure,Business Class,Istanbul to Bangkok,September 2019,3,1,1,,3,,1,no
858,,Solo Leisure,Economy Class,Los Angeles to Delhi via Istanbul,October 2019,1,1,1,1,1,1,1,no
859,A321 / A319,Family Leisure,Economy Class,Istanbul to Aqaba,September 2019,4,5,5,5,3,,5,yes
860,,Solo Leisure,Economy Class,Atlanta to Istanbul,September 2019,1,1,1,1,1,1,1,no
861,Boeing 737-800,Family Leisure,Economy Class,Bodrum to London,September 2019,1,2,4,4,4,,3,no
862,A321,Business,Economy Class,Istanbul to Ankara,September 2019,5,4,5,4,3,,4,yes
863,Boeing 737-800,Family Leisure,Economy Class,Istanbul to Dammam,August 2019,5,5,4,4,5,,5,yes
864,A320 / Boeing 737,Solo Leisure,Premium Economy,Amman to Dublin via Istanbul,September 2019,1,2,1,2,1,1,1,no
865,A321,Business,Business Class,Zurich to Istanbul,September 2019,5,5,4,4,4,4,4,yes
866,A330 & A321,Business,Economy Class,Vienna to Baku via Istanbul,September 2019,4,4,5,5,3,5,5,yes
867,,Solo Leisure,Economy Class,Istanbul to Manila,August 2019,2,3,2,2,1,1,1,no
868,,Solo Leisure,Economy Class,Istanbul to Melbourne via Singapore,September 2019,2,1,1,1,1,1,1,no
869,,Business,Economy Class,Delhi to Cologne via Istanbul,June 2019,3,3,3,3,1,,1,no
870,Boeing 777,Solo Leisure,Economy Class,London to Tokyo Narita via Istanbul,September 2019,3,4,4,4,3,1,4,yes
871,,Family Leisure,Economy Class,Houston to Karachi via Istanbul,August 2019,3,1,1,1,1,1,1,no
872,A330-200,Solo Leisure,Business Class,Istanbul to Havana,September 2019,5,5,5,5,3,5,5,yes
873,Boeing 777,Family Leisure,Business Class,Hong Kong to London via Istanbul,June 2019,1,1,1,1,1,1,1,no
874,,Solo Leisure,Economy Class,Kosice to Havana via Istanbul,July 2019,3,2,4,,1,1,4,no
875,,Couple Leisure,Economy Class,Istanbul to Budapest,September 2019,2,2,3,2,1,1,2,no
876,,Solo Leisure,Economy Class,Istanbul to Munich,September 2019,1,1,1,1,1,1,1,no
877,A330,Couple Leisure,Business Class,Istanbul to Hamburg,August 2019,4,3,2,4,1,2,2,yes
878,,Couple Leisure,Economy Class,Budapest to Kuala Lumpur via Istanbul,September 2019,2,2,3,2,4,,2,no
879,,Business,Business Class,New York to Tehran via Istanbul,July 2019,1,4,4,2,1,,1,no
880,A330,Solo Leisure,Business Class,London to Kuwait via Istanbul,September 2019,1,3,1,1,2,1,1,no
881,,Solo Leisure,Economy Class,Skopje to Istanbul,August 2019,3,3,4,,1,,4,no
882,A321/A330,Solo Leisure,Economy Class,Gatwick to Tel Aviv via Istanbul,September 2019,5,5,,4,5,,5,yes
883,,Business,Economy Class,Konya to London via Istanbul,September 2019,3,4,2,1,1,,1,no
884,A330,Business,Economy Class,Budapest to Istanbul,May 2019,1,5,5,3,4,,3,yes
885,,Business,Economy Class,Mumbai to Antalya via Istanbul,August 2019,2,2,2,2,1,1,1,no
886,A330,Family Leisure,Business Class,Boston to Istanbul,August 2019,4,4,3,,3,3,2,yes
887,A321-231,Family Leisure,Economy Class,Dammam to Istanbul,July 2019,5,5,4,4,5,,5,yes
888,Boeing 737-800,Solo Leisure,Economy Class,Istanbul to Dubai,August 2019,5,5,5,5,5,,5,yes
889,,Business,Economy Class,Istanbul to London,August 2019,1,1,1,1,1,1,1,no
890,,Family Leisure,Economy Class,Sofia to San Francisco via Istanbul,August 2019,,,,,,,1,no
891,,Family Leisure,Economy Class,Rome to Doha via Istanbul,August 2019,1,1,1,3,1,,1,no
892,A321 and Boeing 737-800,Business,Business Class,Istanbul to Mombasa,December 2018,1,4,3,1,4,,1,no
893,,Family Leisure,Economy Class,Istanbul to New York,September 2018,3,,,,2,,1,no
894,Boeing 777-300,Solo Leisure,Economy Class,Warsaw to Taipei via Istanbul,July 2019,3,3,3,3,1,,3,no
895,,Solo Leisure,Economy Class,Singapore to Catania via Istanbul,December 2018,1,1,,,1,,1,no
896,Boeing 777-300ER,Family Leisure,Economy Class,Los Angeles to Samara via Istanbul,August 2019,4,5,4,4,5,4,5,yes
897,,Family Leisure,Economy Class,London Gatwick to Istanbul via Dubai,August 2019,4,1,1,3,2,1,3,no
898,,Family Leisure,Economy Class,Istanbul to Boston,August 2019,1,1,1,1,1,1,1,no
899,A330-300,Family Leisure,Economy Class,Kuala Lumpur to Odessa via Istanbul,July 2019,3,3,3,3,2,,3,no
900,,Family Leisure,Economy Class,Milan to Mombasa via Istanbul,August 2019,2,2,2,2,1,1,1,no
901,Boeing 737-800,Business,Business Class,Paris to Kilimanjaro via Istanbul,August 2019,1,1,3,3,3,1,1,no
902,,Solo Leisure,Economy Class,Montreal to Istanbul,July 2019,2,2,1,2,1,1,1,no
903,,Solo Leisure,Economy Class,San Francisco to Kiev via San Francisco,May 2019,4,4,4,4,1,4,1,no
904,A321,Family Leisure,Economy Class,Stockholm to Sharm el Sheikh via Istanbul,August 2019,2,1,3,2,1,,2,no
905,,Solo Leisure,Premium Economy,New York JFK to Baku via Istanbul,August 2019,,,,,,,1,no
906,Boeing 777,Family Leisure,Economy Class,Toronto to Karachi via Istanbul,July 2019,3,5,5,4,5,,4,yes
907,,Business,Economy Class,Bodrum to Stavanger,July 2019,,,,,,,1,no
908,,Family Leisure,Economy Class,Kinshasa to Paris via Istanbul,July 2019,3,3,,,1,,1,no
909,,Solo Leisure,Economy Class,Prague to Manila via Istanbul,July 2019,5,4,5,4,5,,5,yes
910,,Family Leisure,Economy Class,Karachi to London via Istanbul,February 2019,2,2,2,2,2,1,1,no
911,,Family Leisure,Economy Class,Houston to Istanbul,July 2019,,,,,2,,1,no
912,,Business,Economy Class,Addis Ababa to Chicago via Istanbul,July 2019,3,2,2,4,1,1,2,no
913,A321,Couple Leisure,Economy Class,Istanbul to Delhi,July 2019,1,1,1,1,1,,1,no
914,Boeing 737,Family Leisure,Economy Class,Istanbul to Edinburgh,July 2019,4,5,2,4,5,,5,yes
915,,Family Leisure,Economy Class,Dusseldorf to Istanbul via Seychelles,July 2019,3,2,1,2,1,1,2,no
916,A321,Solo Leisure,Economy Class,Adana to İstanbul,July 2019,5,5,4,,3,,5,yes
917,A320,Business,Economy Class,Tel Aviv to Istanbul,May 2019,1,1,1,1,2,,1,no
918,,Couple Leisure,Economy Class,New York to Sofia via Istanbul,April 2019,2,1,3,2,1,,2,no
919,A332,Solo Leisure,Business Class,Havana to Munich via Istanbul / Caracas,July 2019,5,5,5,5,5,5,5,yes
920,A330-300,Family Leisure,Economy Class,Dammam to Istanbul,August 2018,4,4,5,5,4,5,4,yes
921,,Solo Leisure,Economy Class,Dubai to Oslo via Istanbul,July 2019,2,1,1,2,1,1,1,no
922,,Couple Leisure,Economy Class,San Francisco to Istanbul,February 2019,1,1,1,1,1,1,1,no
923,,Couple Leisure,Economy Class,Istanbul to Kayseri,June 2019,1,1,1,,1,,1,no
924,,Couple Leisure,Economy Class,Istanbul to Bangkok,July 2019,3,3,2,3,3,,2,no
925,,Couple Leisure,Economy Class,Istanbul to Bodrum,July 2019,1,1,,,1,,1,no
926,,Family Leisure,Economy Class,Istanbul to Jeddah,July 2019,4,3,3,,4,,3,no
927,,Couple Leisure,Business Class,Manchester to Ercan via Istanbul,July 2019,3,3,5,5,5,2,4,yes
928,,Family Leisure,Economy Class,Kayseri to Istanbul,June 2019,,,,,1,,2,no
929,,Business,Economy Class,Kiev to Bamako via Istanbul,June 2019,3,3,4,5,1,1,1,no
930,,Couple Leisure,Economy Class,London to Istanbul,July 2019,1,1,1,3,1,1,2,no
931,,Solo Leisure,Economy Class,Kuala Lumpur to Dubrovnik via Istanbul,June 2019,3,1,2,1,1,1,1,no
932,A330-200,Family Leisure,Economy Class,Amsterdam to Istanbul,June 2019,4,4,4,2,4,,5,yes
933,,Family Leisure,Economy Class,Montreal to Istanbul,June 2019,1,1,,,1,,1,no
934,,Solo Leisure,Economy Class,Beirut to Istanbul,June 2019,3,4,4,4,1,1,4,no
935,,Solo Leisure,Economy Class,Alexandria to London via Istanbul,June 2019,2,4,4,3,1,1,4,no
936,Boeing 737,Family Leisure,Economy Class,Istanbul to Bodrum,June 2019,5,4,3,4,5,,4,yes
937,,Couple Leisure,Economy Class,Johannesburg to Toulouse via Istanbul,June 2019,4,4,4,4,4,,4,yes
938,A330-300,Family Leisure,Economy Class,New York to Istanbul,February 2019,1,1,2,1,1,1,1,no
939,,Family Leisure,Business Class,Istanbul to Dubai,June 2019,1,4,,,1,,1,no
940,,Business,Economy Class,Istanbul to London,June 2019,2,3,2,3,1,1,1,no
941,,Couple Leisure,Economy Class,Kayseri to Istanbul,April 2019,2,4,3,3,1,,1,no
942,Boeing 777-300ER,Couple Leisure,Economy Class,Istanbul to Ankara,May 2019,4,2,3,,2,,4,yes
943,A330-300,Couple Leisure,Economy Class,Amsterdam to Istanbul,May 2019,4,3,5,5,2,,4,yes
944,,Solo Leisure,Economy Class,Kuala Lumpur to Lisbon via Istanbul,April 2019,1,4,3,4,1,3,2,no
945,,Business,Economy Class,Istanbul to Dublin,June 2019,1,1,1,1,1,1,1,no
946,,Couple Leisure,Economy Class,Tel Aviv to Istanbul,March 2019,3,1,,,1,,2,no
947,A321 / A330,Couple Leisure,Business Class,Abu Dhabi to Barcelona via Istanbul,May 2019,2,1,1,3,1,,1,no
948,,Solo Leisure,Economy Class,Accra to New York via Istanbul,May 2019,4,3,3,4,1,1,1,no
949,,Business,Economy Class,New York to Doha via istanbul,March 2019,3,4,4,4,1,,3,no
950,Boeing 737-800,Business,Economy Class,Istanbul to Birmingham,May 2019,5,5,5,5,5,,5,yes
951,A330-200,Solo Leisure,Economy Class,Kiev to Paris via Istanbul,May 2019,5,5,5,5,5,1,5,yes
952,,Couple Leisure,Economy Class,Kiev to Male via Istanbul,May 2019,3,4,2,5,3,,3,no
953,,Couple Leisure,Economy Class,Istanbul to Tokyo,May 2019,1,1,1,1,1,1,1,no
954,,Couple Leisure,Economy Class,Tel Aviv to Istanbul,May 2019,1,1,1,2,1,1,1,no
955,,Family Leisure,Economy Class,Kathmandu to Bordeaux via Istanbul,April 2019,3,2,2,4,2,1,1,no
956,,Business,Economy Class,Moscow to Hurghada via Istanbul,February 2019,2,4,3,,3,,3,no
957,,Solo Leisure,Economy Class,Addis Ababa to London via Istanbul,May 2019,3,3,,,1,,2,no
958,,Couple Leisure,Economy Class,Istanbul to Singapore,May 2019,2,1,1,1,1,,2,no
959,Boeing 737-800 / A321,Solo Leisure,Business Class,Kigali to Gatwick via Istanbul,May 2019,3,5,5,3,5,,4,yes
960,,Solo Leisure,Economy Class,Singapore to Catania via Istanbul,May 2019,3,3,,,1,,1,no
961,,Family Leisure,Economy Class,Miami to Tel Aviv via Istanbul,May 2019,1,1,1,1,1,1,1,no
962,,Solo Leisure,Economy Class,Doha to Milan via Istanbul,April 2019,3,2,4,4,1,,1,no
963,,Family Leisure,Economy Class,Chișinău  to Istanbul,April 2019,1,1,2,1,1,1,1,no
964,,Solo Leisure,Economy Class,Chisinau to New York via Istanbul,May 2019,1,1,2,1,1,1,1,no
965,,Business,Economy Class,Delhi to London via Istanbul,May 2019,2,2,2,2,1,,1,no
966,,Business,Economy Class,Dhaka to Dublin via Istanbul,April 2019,1,1,1,1,1,1,1,no
967,Boeing 777-3000,Family Leisure,Business Class,Miami to Hong Kong via Istanbul,April 2019,4,1,1,4,3,3,2,no
968,,Business,Business Class,Mombasa to istanbul,May 2019,2,4,4,4,1,3,1,no
969,,Business,Economy Class,London to Izmir via Istanbul,May 2019,4,5,4,4,2,3,4,yes
970,,Family Leisure,Economy Class,Istanbul to Bucharest,May 2019,4,1,1,1,1,1,1,no
971,,Business,Economy Class,Rome to Prishtina via Istanbul,May 2019,1,4,1,3,1,1,2,no
972,A330,Solo Leisure,Economy Class,Washington Dulles to Karachi,April 2019,4,5,5,5,5,,5,yes
973,,Solo Leisure,Economy Class,Mumbai to Dublin via Istanbul,May 2019,1,1,1,1,1,1,1,no
974,,Couple Leisure,Economy Class,Istanbul to Budapest via Dublin,May 2019,3,3,5,3,1,,1,no
975,,Business,Business Class,Istanbul to Algiers,April 2019,2,2,,3,1,,1,no
976,Boeing 737-800 / A330-300,Solo Leisure,Economy Class,Basel to Cape Town via Istanbul,April 2019,3,3,2,3,1,,2,no
977,A320 / Boeing 737,Solo Leisure,Economy Class,Abu Dhabi to Luxembourg via Istanbul,April 2019,2,3,3,3,3,,3,yes
978,A320 / A330,Solo Leisure,Economy Class,Venice to Boston via Istanbul,February 2019,1,1,1,1,1,1,1,no
979,,Business,Economy Class,New York to Erbil via Istanbul,April 2019,1,1,,,1,,1,no
980,,Family Leisure,Economy Class,Tehran to New York via Istanbul,October 2018,4,4,4,3,1,1,1,no
981,,Business,Economy Class,Belgrade to Athens via Istanbul,March 2019,4,4,4,,1,,1,no
982,,Family Leisure,Economy Class,Dublin to Tel Aviv via İstanbul,April 2019,2,5,4,4,2,2,3,no
983,Boeing 777-300,Solo Leisure,Economy Class,Houston to Kiev via Istanbul,March 2019,1,3,2,2,1,,1,no
984,,Solo Leisure,Economy Class,Tashkent to Istanbul,April 2019,1,1,3,4,1,,1,no
985,,Solo Leisure,Economy Class,Istanbul to Prague,April 2019,5,5,4,5,4,,4,yes
